strain	division	location	clade	latitude	longitude
hCoV-19/Nepal/2097/2020	Kathmandu		20B	27.7193306781525	85.3224895611302
hCoV-19/Nepal/2178/2020	Bhaktapur		20A	27.6717719889859	85.4286721592834
hCoV-19/Nepal/459A/2020	Baglung		20B	28.2776472411214	83.5814730652645
hCoV-19/Nepal/61/2020	Kathmandu		19A	27.7193306781525	85.3224895611302
hCoV-19/Nepal/617/2020	Kavre		20A	27.5680296449915	85.6049546388782
hCoV-19/Nepal/70N/2020	Rautahat		20A	26.5724649583307	86.5311579695572
hCoV-19/Nepal/DH_001/2020	Central		20B	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_002/2020	Central		20B	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_003/2021	Central		20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_004/2021	Central		20A	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_005/2021	Central		20A	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_006/2021	Central		20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_007/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_008/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_009/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_010/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_012/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_013/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/DH_015/2021	Central		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-01-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-01/2021	Bagmati	Lalitpur	21A (Delta)	27.6603532578956	85.3216062250324
hCoV-19/Nepal/S-02-T/2021			20A	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-02/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-03-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-03/2021	Lumbini	Bardiya	21A (Delta)	28.4017267308451	81.4073013446511
hCoV-19/Nepal/S-04-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-05-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-05/2021	Province 2	Janakpur	21A (Delta)	26.7199528517297	85.9457232820667
hCoV-19/Nepal/S-06-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-07-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-07/2021	Province 1	Jhapa	21A (Delta)	26.6397544356443	87.9720971891934
hCoV-19/Nepal/S-08-T/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-10-WGS/2021			20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-100/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-101/2021	Sudurpaschim		21A (Delta)	28.8020373545948	80.8573527055338
hCoV-19/Nepal/S-102/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-103/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-104/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-105/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-106/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-107/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-108/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-109/2021	Sudurpaschim		21A (Delta)	29.4683800720053	81.1027873961256
hCoV-19/Nepal/S-11-WGS/2021			20A	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-11/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-110/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-111/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-112/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-113/2021	Province 2		21A (Delta)	26.9335475233624	85.7483103606771
hCoV-19/Nepal/S-114/2021	Lumbini		21A (Delta)	27.4501516109951	83.2499570356162
hCoV-19/Nepal/S-115/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-116/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-117/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-118/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-119/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-12/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-120/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-121/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-122/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-123/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-124/2021	Karnali		21A (Delta)	29.2074917435855	82.3133531156759
hCoV-19/Nepal/S-125/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-126/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-127/2021	Province 1		21A (Delta)	27.2747483977934	87.0899760995326
hCoV-19/Nepal/S-128/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-129/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-13-WGS/2021			20B	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-13/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-130/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-131/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-15-WGS/2021			21B (Kappa)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-15/2021	Province 1	Okhaldhunga	21A (Delta)	27.3166579782734	86.3993850590532
hCoV-19/Nepal/S-19/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-20/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-21/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-22/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-23/2021	Bagmati	Kathmandu	21B (Kappa)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-26/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-28/2021	Sudurpaschim	Kailali	21A (Delta)	28.8020373545948	80.8573527055338
hCoV-19/Nepal/S-29/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-30/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-33/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-35/2021	Bagmati	Kathmandu	21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-41/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-42/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-45/2021	Province1		21A (Delta)	27.2747483977934	87.0899760995326
hCoV-19/Nepal/S-47/2021	Lumbini		21A (Delta)	28.4017267308451	81.4073013446511
hCoV-19/Nepal/S-48/2021	Lumbini		21A (Delta)	27.4501516109951	83.2499570356162
hCoV-19/Nepal/S-49/2021	Lumbini		21A (Delta)	28.4017267308451	81.4073013446511
hCoV-19/Nepal/S-50/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-51/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-52/2021	Province 2		21A (Delta)	26.7199528517297	85.9457232820667
hCoV-19/Nepal/S-53/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-54/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-55/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-56/2021	Province 2		21A (Delta)	26.7199528517297	85.9457232820667
hCoV-19/Nepal/S-57/2021	Province 2		21A (Delta)	26.7199528517297	85.9457232820667
hCoV-19/Nepal/S-58/2021	Province 2		21A (Delta)	26.7199528517297	85.9457232820667
hCoV-19/Nepal/S-59/2021	Bagmati		20I (Alpha, V1)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-62/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-65/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-66/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-68/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-72/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-73/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-74/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-76/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-77/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-78/2021	Gandaki		21A (Delta)	28.3654282274455	84.0861841535558
hCoV-19/Nepal/S-79/2021	Lumbini		21A (Delta)	27.4501516109951	83.2499570356162
hCoV-19/Nepal/S-80/2021	Lumbini		21A (Delta)	27.4501516109951	83.2499570356162
hCoV-19/Nepal/S-83/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
